"Publishing Journal","OAID","ISSN","Citing Journal","Number of Citations"
"Journal of Marketing","https://openalex.org/S142990027","1547-7185","Journal of Marketing",15881
"Journal of Marketing","https://openalex.org/S142990027","1547-7185","Journal of Marketing Research",7403
"Journal of Marketing","https://openalex.org/S142990027","1547-7185","Journal of Consumer Research",3549
"Journal of Marketing","https://openalex.org/S142990027","1547-7185","Marketing Science",2959
"Journal of Marketing","https://openalex.org/S142990027","1547-7185","Journal of Consumer Psychology",1976
"Journal of Marketing","https://openalex.org/S142990027","1547-7185","Journal of the Academy of Marketing Science",12146
"Journal of Marketing","https://openalex.org/S142990027","1547-7185","International Journal of Research in Marketing",6140
"Journal of Marketing","https://openalex.org/S142990027","1547-7185","Psychology and Marketing",5617
"Journal of Marketing","https://openalex.org/S142990027","1547-7185","European Journal of Marketing",11007
"Journal of Marketing","https://openalex.org/S142990027","1547-7185","Journal of Retailing",4834
"Journal of Marketing","https://openalex.org/S142990027","1547-7185","Industrial Marketing Management",17841
